_id,Ward No.,Ward Name,Area (sq km),Road length (kms),Ward Area (in sq.km),Total Population,Male Population,Female Population,SC Population,ST Population,Assembly constituency,Parliamentary constituency
50,50,Benniganahalli,4.9,64,1.5293,35372,18036,17336,3301,429,158-HEBBAL,BANGALORE NORTH
51,51,Vijnanapura,2.1,55,0.5703,46673,23760,22913,7425,429,159-PULAKESHI NAGAR (SC),BANGALORE NORTH
52,52,KR Puram,4.8,83,0.5135,45638,23330,22308,8847,498,159-PULAKESHI NAGAR (SC),BANGALORE NORTH
53,53,Basavanapura,6.3,126,1.1297,41639,20756,20883,6898,1445,160-SARVARGNA NAGAR,BANGALORE CENTRAL
54,54,Hudi,15.0,197,4.3793,46528,25006,21522,10016,1203,161-C.V. RAMAN NAGAR (SC),BANGALORE CENTRAL
55,55,Devasandra,3.5,45,2.1368,40235,20765,19470,8852,776,151-K.R.PURA,BANGALORE NORTH
56,56,A Narayanapura,2.1,52,2.7416,44446,22690,21756,8862,1025,151-K.R.PURA,BANGALORE NORTH
57,57,C.V. Raman Nagar,3.6,67,5.4154,38170,19683,18487,3526,960,151-K.R.PURA,BANGALORE NORTH
58,58,New Tippa Sandra,3.4,68,5.1441,42519,21962,20557,6634,872,151-K.R.PURA,BANGALORE NORTH
59,59,Maruthi Seva Nagar,2.4,45,3.9879,40373,21710,18663,5091,851,151-K.R.PURA,BANGALORE NORTH
60,60,Sagayara Puram,0.8,26,1.915,39786,20617,19169,7959,550,151-K.R.PURA,BANGALORE NORTH
